criterion,passed
v0.33 base formula imported,True
node_link_face_cell_structure_preserved,True
entanglement_compression_derived_from_compatibility,True
rhythm_lock_derived_from_phase_frequency,True
discarded_vibration_maps_to_angular_momentum,True
visible_branch_projection_defined,True
hidden_sink_branch_projection_defined,True
hidden_branch_gravitates_but_not_visible_channels,True
clock_lapse_derived_from_compact_load_and_rotation,True
sound_speed_derived_from_coherence_load,True
channel_clocks_and_kappas_defined_as_field_projections,True
cosmology_densities_derived_from_branch_projections,True
Q_i_transfer_network_conservative_by_construction,True
no_completed_physics_claim_made,True
